area,asset_type,avg_rent_per_sqm,vacancy_rate,trend
埼玉県さいたま市南区,マンション,2000,0.04,stable
埼玉県さいたま市中央区,マンション,2000,0.04,stable
埼玉県さいたま市西区,マンション,1800,0.05,stable
埼玉県川口市,マンション,1900,0.045,stable
埼玉県草加市,マンション,1700,0.05,stable
埼玉県越谷市,マンション,1700,0.05,stable
埼玉県所沢市,マンション,1700,0.05,stable
埼玉県川越市,マンション,1700,0.05,stable
埼玉県春日部市,マンション,1500,0.06,stable
埼玉県蕨市,マンション,2000,0.04,stable
埼玉県和光市,マンション,2100,0.04,up
埼玉県熊谷市,マンション,1300,0.07,stable
千葉県浦安市,マンション,2500,0.03,up
千葉県市川市,マンション,2200,0.04,stable
千葉県船橋市,マンション,2000,0.04,stable
千葉県習志野市,マンション,1900,0.045,stable
千葉県千葉市,マンション,1700,0.05,stable
千葉県千葉市中央区,マンション,1800,0.045,stable
千葉県千葉市花見川区,マンション,1600,0.055,stable
千葉県千葉市稲毛区,マンション,1700,0.05,stable
千葉県松戸市,マンション,1800,0.05,stable
千葉県柏市,マンション,1700,0.05,stable
千葉県我孫子市,マンション,1500,0.06,stable
千葉県成田市,マンション,1400,0.065,stable
大阪府大阪市,マンション,2000,0.05,stable
大阪府大阪市北区,マンション,3000,0.03,up
大阪府大阪市北区,商業,9000,0.03,up
大阪府大阪市中央区,マンション,2600,0.035,up
大阪府大阪市中央区,商業,8000,0.04,up
大阪府大阪市西区,マンション,2400,0.035,up
大阪府大阪市福島区,マンション,2400,0.035,up
大阪府大阪市浪速区,マンション,2200,0.04,stable
大阪府大阪市天王寺区,マンション,2300,0.04,up
大阪府大阪市阿倍野区,マンション,2100,0.04,stable
大阪府大阪市都島区,マンション,2000,0.045,stable
大阪府大阪市城東区,マンション,1900,0.05,stable
大阪府大阪市東成区,マンション,1900,0.05,stable
大阪府大阪市港区,マンション,1900,0.05,stable
大阪府大阪市住吉区,マンション,1800,0.05,stable
大阪府大阪市東住吉区,マンション,1700,0.055,stable
大阪府大阪市生野区,マンション,1600,0.06,stable
大阪府大阪市旭区,マンション,1700,0.055,stable
大阪府大阪市鶴見区,マンション,1700,0.055,stable
大阪府大阪市大正区,マンション,1700,0.055,stable
大阪府大阪市西成区,マンション,1500,0.07,stable
大阪府大阪市住之江区,マンション,1700,0.055,stable
大阪府大阪市平野区,マンション,1600,0.06,stable
大阪府大阪市,商業,7000,0.05,stable
大阪府豊中市,マンション,2000,0.045,stable
大阪府吹田市,マンション,1900,0.045,stable
大阪府枚方市,マンション,1700,0.05,stable
大阪府東大阪市,マンション,1700,0.055,stable
大阪府堺市,マンション,1500,0.06,stable
大阪府高槻市,マンション,1700,0.05,stable
大阪府茨木市,マンション,1800,0.05,stable
京都府京都市,マンション,1900,0.05,stable
京都府京都市中京区,マンション,2200,0.04,up
京都府京都市左京区,マンション,2100,0.04,stable
京都府京都市下京区,マンション,2000,0.045,stable
京都府京都市東山区,マンション,2000,0.045,stable
京都府京都市上京区,マンション,1900,0.05,stable
京都府京都市北区,マンション,1800,0.05,stable
京都府京都市右京区,マンション,1700,0.055,stable
京都府京都市伏見区,マンション,1700,0.055,stable
京都府京都市山科区,マンション,1600,0.06,stable
京都府京都市西京区,マンション,1700,0.055,stable
京都府京都市南区,マンション,1700,0.055,stable
兵庫県神戸市,マンション,1800,0.05,stable
兵庫県神戸市中央区,マンション,2200,0.04,up
兵庫県神戸市中央区,商業,6000,0.04,stable
兵庫県神戸市灘区,マンション,2000,0.045,stable
兵庫県神戸市東灘区,マンション,2200,0.04,up
兵庫県神戸市兵庫区,マンション,1600,0.06,stable
兵庫県神戸市長田区,マンション,1500,0.065,stable
兵庫県神戸市須磨区,マンション,1600,0.06,stable
兵庫県神戸市垂水区,マンション,1600,0.06,stable
兵庫県神戸市西区,マンション,1500,0.065,stable
兵庫県神戸市北区,マンション,1400,0.07,stable
兵庫県芦屋市,マンション,2700,0.03,up
兵庫県西宮市,マンション,2100,0.04,stable
兵庫県尼崎市,マンション,1600,0.06,stable
愛知県名古屋市,マンション,1700,0.04,stable
愛知県名古屋市,商業,8000,0.04,stable
福岡県福岡市,マンション,1600,0.05,up
北海道札幌市,マンション,1200,0.07,stable
宮城県仙台市,マンション,1300,0.06,stable
広島県広島市,マンション,1100,0.07,stable
静岡県静岡市,マンション,900,0.08,down
静岡県浜松市,マンション,850,0.09,down
東京都港区麻布,マンション,6500,0.015,up
東京都港区六本木,マンション,6000,0.015,up
東京都港区赤坂,マンション,5800,0.02,up
東京都港区白金,マンション,5500,0.02,up
東京都渋谷区神宮前,マンション,5500,0.015,up
東京都渋谷区代官山,マンション,4800,0.02,up
東京都渋谷区恵比寿,マンション,4500,0.02,up
東京都目黒区中目黒,マンション,4200,0.025,up
東京都世田谷区三軒茶屋,マンション,3500,0.03,stable
東京都世田谷区二子玉川,マンション,3500,0.03,stable
東京都新宿区四谷,マンション,3800,0.025,stable
東京都文京区本郷,マンション,3500,0.025,stable
神奈川県横浜市西区みなとみらい,マンション,3200,0.025,up
神奈川県横浜市中区元町,マンション,2800,0.03,stable
神奈川県鎌倉市由比ガ浜,マンション,2800,0.03,stable
