prefecture,city,asset_type,trend,price_change_yoy,rental_demand,vacancy_rate,comment
神奈川県,横浜市,HOUSE,上昇,0.04,高,0.04,郊外戸建て需要は根強い。田園都市線・東横線沿線は特に人気。
神奈川県,横浜市,APARTMENT_WOOD,横ばい,0.02,中,0.08,木造アパートは郊外エリアで空室率がやや上昇傾向。
神奈川県,川崎市,APARTMENT_WHOLE,上昇,0.07,高,0.04,川崎駅周辺の再開発効果で一棟マンション需要拡大。武蔵小杉エリアも堅調。
神奈川県,川崎市,UNIT,上昇,0.06,高,0.04,武蔵小杉タワーマンション人気継続。川崎駅周辺の区分マンション需要旺盛。
神奈川県,川崎市,OFFICE,横ばい,0.02,中,0.07,川崎テクノパーク周辺のオフィス需要は安定しているが大幅上昇なし。
埼玉県,さいたま市,APARTMENT_WHOLE,上昇,0.05,高,0.05,大宮・浦和エリアの一棟マンション需要は首都圏通勤需要で堅調。
埼玉県,さいたま市,UNIT,上昇,0.04,高,0.06,大宮駅周辺の区分マンションは投資利回りが相対的に高く人気。
埼玉県,さいたま市,HOUSE,上昇,0.04,高,0.05,浦和・与野エリアの戸建ては子育て世帯に人気。価格は緩やかに上昇。
千葉県,千葉市,APARTMENT_WHOLE,横ばい,0.02,中,0.07,千葉駅周辺は横ばい。幕張エリアは企業集積で賃貸需要やや堅調。
千葉県,千葉市,UNIT,横ばい,0.01,中,0.08,区分マンション価格は横ばい。都心比で割安感から実需需要は一定程度あり。
大阪府,大阪市北区,APARTMENT_WHOLE,上昇,0.08,高,0.03,梅田エリアの再開発効果で周辺一棟マンション価格が上昇。インバウンド需要も後押し。
大阪府,大阪市北区,UNIT,上昇,0.07,高,0.03,梅田・中之島周辺の区分マンションは外国人投資家需要が旺盛。
大阪府,大阪市北区,OFFICE,上昇,0.05,高,0.05,梅田のオフィス市場は関西最高水準。空室率は低下傾向。
大阪府,大阪市中央区,APARTMENT_WHOLE,上昇,0.09,高,0.03,なんば・心斎橋エリアの民泊・ホテル転用需要も含め価格上昇が顕著。
大阪府,大阪市中央区,COMMERCIAL,上昇,0.10,高,0.03,心斎橋・なんばの商業地はインバウンド回復で価格・賃料とも急上昇。
大阪府,大阪市浪速区,APARTMENT_WHOLE,上昇,0.07,高,0.04,なんばへの近接性から一棟マンション需要が増加。訪日外国人向け賃貸も活発。
大阪府,大阪市西区,APARTMENT_WHOLE,上昇,0.06,高,0.04,堀江・南堀江エリアはおしゃれな街として需要拡大。賃料水準も上昇。
大阪府,大阪市天王寺区,APARTMENT_WHOLE,上昇,0.06,高,0.05,あべのハルカス効果が継続。天王寺・阿倍野周辺の一棟マンション需要は堅調。
大阪府,大阪市福島区,APARTMENT_WHOLE,上昇,0.05,高,0.05,梅田隣接エリアとして注目度上昇。若者・単身者の賃貸需要旺盛。
大阪府,大阪市住吉区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,住宅地としての需要は安定しているが価格上昇は限定的。
大阪府,大阪市生野区,APARTMENT_WOOD,横ばい,0.01,中,0.10,木造アパートは空室率が高めで注意が必要。
大阪府,豊中市,APARTMENT_WHOLE,横ばい,0.03,中,0.06,梅田への通勤圏として安定需要。価格は横ばい圏で推移。
大阪府,豊中市,HOUSE,横ばい,0.03,中,0.05,住宅地としての評価は高いが価格上昇は穏やか。
大阪府,吹田市,APARTMENT_WHOLE,横ばい,0.02,中,0.07,千里ニュータウン周辺は一定の需要。万博開催に向けて一部上昇の動きも。
大阪府,吹田市,UNIT,上昇,0.04,高,0.06,2025年万博・IR期待で吹田・豊中エリアの区分マンション価格がじわり上昇。
愛知県,名古屋市中区,APARTMENT_WHOLE,上昇,0.05,高,0.04,栄・伏見エリアの一棟マンション需要は堅調。価格は緩やかに上昇中。
愛知県,名古屋市中区,OFFICE,横ばい,0.02,中,0.07,栄エリアのオフィス市場は安定。大型ビルの空室率は改善傾向。
愛知県,名古屋市中村区,APARTMENT_WHOLE,上昇,0.04,高,0.05,名古屋駅周辺の再開発効果で周辺一棟マンション需要増加。
愛知県,名古屋市千種区,APARTMENT_WHOLE,横ばい,0.02,中,0.07,住宅地として安定需要。大学生向け賃貸需要は堅調。
愛知県,名古屋市緑区,HOUSE,横ばい,0.02,中,0.06,郊外戸建て需要は安定。価格上昇は限定的。
福岡県,福岡市中央区,APARTMENT_WHOLE,上昇,0.07,高,0.04,天神ビッグバン効果継続。一棟マンション価格は九州最高水準で上昇中。
福岡県,福岡市中央区,UNIT,上昇,0.06,高,0.04,天神・大名エリアの区分マンションは外国人・県外投資家からの需要旺盛。
福岡県,福岡市中央区,OFFICE,上昇,0.05,高,0.05,天神ビッグバン再開発でオフィス需要急増。空室率は過去最低水準へ。
福岡県,福岡市博多区,APARTMENT_WHOLE,上昇,0.06,高,0.04,博多駅周辺の開発継続。一棟マンション需要は九州・全国投資家から集まる。
福岡県,福岡市東区,APARTMENT_WHOLE,横ばい,0.02,中,0.07,香椎・千早エリアは安定した住宅地需要。価格は横ばい。
福岡県,福岡市南区,APARTMENT_WHOLE,横ばい,0.02,中,0.07,大学生・単身者向け賃貸需要は安定。価格は横ばい圏。
北海道,札幌市中央区,APARTMENT_WHOLE,上昇,0.06,高,0.05,インバウンド・移住需要で札幌中心部の一棟マンション価格が上昇。
北海道,札幌市中央区,UNIT,上昇,0.05,高,0.05,円安・訪日需要で外国人投資家の購入増加。価格上昇トレンド継続。
北海道,札幌市北区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,北大周辺の学生需要は安定。価格は横ばい。
北海道,札幌市豊平区,APARTMENT_WHOLE,横ばい,0.01,中,0.09,郊外エリアは価格横ばい。空室率が高め。
宮城県,仙台市青葉区,APARTMENT_WHOLE,横ばい,0.03,中,0.07,東北の中心都市として安定需要。一棟マンション価格は緩やかに上昇。
宮城県,仙台市青葉区,UNIT,横ばい,0.02,中,0.07,区分マンションは実需主体。投資需要は限定的。
宮城県,仙台市若林区,APARTMENT_WHOLE,横ばい,0.01,中,0.09,郊外立地で価格は横ばい。空室リスクに注意。
広島県,広島市中区,APARTMENT_WHOLE,横ばい,0.03,中,0.06,広島駅周辺の再開発効果で一部上昇の動き。全体は横ばい。
広島県,広島市中区,OFFICE,横ばい,0.01,中,0.08,中心部オフィスは安定需要。テレワーク普及で大型ビルの空室が一部目立つ。
広島県,広島市南区,APARTMENT_WHOLE,横ばい,0.02,中,0.07,広島駅南口再開発に隣接するエリアは期待値上昇中。
京都府,京都市中京区,APARTMENT_WHOLE,上昇,0.05,高,0.05,インバウンド回復で民泊・ホテル需要増加。投資目的の購入が活発。
京都府,京都市中京区,COMMERCIAL,上昇,0.06,高,0.04,四条・烏丸エリアの商業地は訪日外国人需要で賃料上昇。
京都府,京都市左京区,APARTMENT_WHOLE,横ばい,0.02,高,0.07,大学生・観光客向け賃貸需要は安定しているが価格上昇は限定的。
兵庫県,神戸市中央区,APARTMENT_WHOLE,横ばい,0.02,中,0.07,三宮周辺は安定需要。価格は横ばい圏。大規模再開発への期待あり。
兵庫県,神戸市中央区,OFFICE,横ばい,0.01,中,0.09,三宮のオフィス市場は大阪比で割安感あるが需要は限定的。
兵庫県,神戸市灘区,APARTMENT_WHOLE,横ばい,0.01,中,0.08,学生向け賃貸需要は安定しているが価格は横ばい。
静岡県,静岡市葵区,APARTMENT_WHOLE,横ばい,0.01,中,0.09,県庁所在地として行政需要はあるが不動産市場は低調。
静岡県,浜松市中区,APARTMENT_WHOLE,横ばい,0.01,中,0.09,自動車産業依存の地方都市。価格は横ばい〜微減。
茨城県,つくば市,APARTMENT_WHOLE,上昇,0.04,高,0.05,つくばエクスプレス沿線の研究者・学生需要で賃貸市場は堅調。
栃木県,宇都宮市,APARTMENT_WHOLE,横ばい,0.01,中,0.09,LRT開通効果で一部エリアは需要増加。全体は横ばい。
群馬県,前橋市,APARTMENT_WHOLE,下落,-0.01,低,0.12,人口減少と車社会で不動産需要が低下傾向。空室率が上昇中。
新潟県,新潟市中央区,APARTMENT_WHOLE,横ばい,0.00,低,0.11,人口減少が進む日本海側の拠点都市。価格は横ばい〜微減。
長野県,長野市,APARTMENT_WHOLE,横ばい,0.01,低,0.10,観光需要はあるが日常の賃貸需要は低調。空室率が高め。
長野県,松本市,APARTMENT_WHOLE,横ばい,0.02,中,0.09,移住需要で一部需要増加。価格は横ばい。
岡山県,岡山市北区,APARTMENT_WHOLE,横ばい,0.01,中,0.09,中四国の拠点都市として安定需要。大幅な価格変動なし。
香川県,高松市,APARTMENT_WHOLE,横ばい,0.00,低,0.11,四国の中心都市だが人口減少傾向。不動産価格は横ばい〜微減。
愛媛県,松山市,APARTMENT_WHOLE,横ばい,-0.01,低,0.12,人口減少と経済縮小で不動産需要が低下。空室率が上昇中。
高知県,高知市,APARTMENT_WHOLE,下落,-0.02,低,0.13,人口減少が顕著で不動産需要が低下。価格は下落傾向。
鹿児島県,鹿児島市,APARTMENT_WHOLE,横ばい,0.01,中,0.09,九州南端の拠点都市。価格は横ばい。観光需要で宿泊施設は好調。
熊本県,熊本市中央区,APARTMENT_WHOLE,上昇,0.04,中,0.06,TSMC進出効果で熊本市の不動産需要が急増。価格は上昇基調。
熊本県,菊陽町,LAND,上昇,0.15,高,0.03,TSMC菊陽工場の影響で地価が急騰。周辺工業用地・住宅地とも大幅上昇。
熊本県,菊陽町,HOUSE,上昇,0.12,高,0.03,TSMC関係者の移住で住宅需要が急増。価格上昇率は全国トップ水準。
沖縄県,那覇市,APARTMENT_WHOLE,上昇,0.06,高,0.05,インバウンド回復と移住需要で那覇市の不動産価格が上昇。
沖縄県,那覇市,COMMERCIAL,上昇,0.08,高,0.04,国際通り周辺の商業地はインバウンド需要で賃料・価格が上昇。
沖縄県,恩納村,LAND,上昇,0.07,高,0.04,リゾート開発需要でリゾート地土地価格が上昇。外国資本の参入も増加。
東京都,新宿区,ALL,上昇,0.08,高,0.04,新宿区全体は都内でも上昇トレンドが顕著なエリア。あらゆる用途で需要旺盛。
東京都,港区,ALL,上昇,0.11,高,0.03,港区は日本最高水準の不動産市場。全用途で上昇基調が継続。
大阪府,大阪市中央区,ALL,上昇,0.08,高,0.04,インバウンド効果で大阪市中心部の全用途不動産が上昇トレンド。
愛知県,名古屋市中区,ALL,上昇,0.04,高,0.05,名古屋市中心部は安定成長。製造業好調が下支え。
福岡県,福岡市中央区,ALL,上昇,0.06,高,0.04,天神ビッグバン効果で福岡市中央区は全用途で上昇トレンド継続。
北海道,札幌市中央区,ALL,上昇,0.05,高,0.05,観光・移住需要が複合的に作用し札幌中心部は上昇基調。
東京都,渋谷区,ALL,上昇,0.10,高,0.03,渋谷は再開発の目玉エリア。2024-2025年も上昇トレンドが続く見込み。
神奈川県,横浜市,ALL,上昇,0.05,高,0.05,横浜は首都圏第二の都市として全用途で安定上昇トレンド。
埼玉県,さいたま市,ALL,上昇,0.04,高,0.05,首都圏通勤圏として需要増加傾向。大宮・浦和中心に価格上昇。
熊本県,熊本市,ALL,上昇,0.06,高,0.05,TSMC効果で熊本市全体の不動産需要が急速に拡大中。
