prefecture,city,area,zone_type,rosenka_per_sqm,land_price_per_sqm,year
神奈川県,川崎市中原区,川崎市中原区住宅,住宅地域,480000,600000,2024
神奈川県,相模原市中央区,相模原駅周辺,近隣商業地域,260000,325000,2024
神奈川県,相模原市中央区,相模原市内,住宅地域,180000,225000,2024
神奈川県,横須賀市,横須賀中央,近隣商業地域,200000,250000,2024
神奈川県,横須賀市,横須賀市内,住宅地域,120000,150000,2024
神奈川県,平塚市,平塚駅周辺,近隣商業地域,220000,275000,2024
神奈川県,平塚市,平塚市内,住宅地域,150000,187500,2024
神奈川県,藤沢市,藤沢駅周辺,近隣商業地域,380000,475000,2024
神奈川県,藤沢市,藤沢市内,住宅地域,200000,250000,2024
神奈川県,小田原市,小田原駅周辺,近隣商業地域,160000,200000,2024
神奈川県,小田原市,小田原市内,住宅地域,100000,125000,2024
埼玉県,さいたま市大宮区,大宮駅周辺,商業地域,820000,1025000,2024
埼玉県,さいたま市大宮区,大宮区住宅,住宅地域,280000,350000,2024
埼玉県,さいたま市浦和区,浦和駅周辺,商業地域,680000,850000,2024
埼玉県,さいたま市浦和区,浦和区住宅,住宅地域,320000,400000,2024
埼玉県,さいたま市中央区,与野・さいたま新都心,近隣商業地域,380000,475000,2024
埼玉県,川口市,川口駅周辺,近隣商業地域,480000,600000,2024
埼玉県,川口市,川口市内,住宅地域,220000,275000,2024
埼玉県,越谷市,越谷レイクタウン周辺,近隣商業地域,220000,275000,2024
埼玉県,越谷市,越谷市内,住宅地域,160000,200000,2024
埼玉県,所沢市,所沢駅周辺,近隣商業地域,280000,350000,2024
埼玉県,所沢市,所沢市内,住宅地域,180000,225000,2024
埼玉県,川越市,川越駅周辺,近隣商業地域,260000,325000,2024
埼玉県,川越市,川越市内,住宅地域,160000,200000,2024
埼玉県,熊谷市,熊谷駅周辺,近隣商業地域,140000,175000,2024
埼玉県,熊谷市,熊谷市内,住宅地域,95000,118750,2024
埼玉県,草加市,草加市内,住宅地域,170000,212500,2024
千葉県,千葉市中央区,千葉駅周辺,商業地域,480000,600000,2024
千葉県,千葉市中央区,千葉市中央区住宅,住宅地域,210000,262500,2024
千葉県,船橋市,船橋駅周辺,近隣商業地域,380000,475000,2024
千葉県,船橋市,船橋市内,住宅地域,200000,250000,2024
千葉県,松戸市,松戸駅周辺,近隣商業地域,320000,400000,2024
千葉県,松戸市,松戸市内,住宅地域,180000,225000,2024
千葉県,柏市,柏駅周辺,近隣商業地域,340000,425000,2024
千葉県,柏市,柏市内,住宅地域,180000,225000,2024
千葉県,市川市,本八幡・市川,近隣商業地域,360000,450000,2024
千葉県,市川市,市川市内,住宅地域,220000,275000,2024
大阪府,大阪市中央区,心斎橋・難波,商業地域,7200000,9000000,2024
大阪府,大阪市中央区,本町・船場,商業地域,4800000,6000000,2024
大阪府,大阪市中央区,大阪市中央区住宅,住宅地域,680000,850000,2024
大阪府,大阪市北区,梅田・大阪駅,商業地域,6500000,8125000,2024
大阪府,大阪市北区,中之島,商業地域,3200000,4000000,2024
大阪府,大阪市北区,大阪市北区住宅,住宅地域,520000,650000,2024
大阪府,大阪市浪速区,なんば周辺,商業地域,3800000,4750000,2024
大阪府,大阪市浪速区,大阪市浪速区住宅,住宅地域,380000,475000,2024
大阪府,大阪市天王寺区,天王寺・阿倍野,商業地域,2200000,2750000,2024
大阪府,大阪市天王寺区,大阪市天王寺区住宅,住宅地域,420000,525000,2024
大阪府,大阪市西区,堀江・本町西,近隣商業地域,1200000,1500000,2024
大阪府,大阪市住吉区,大阪市住吉区住宅,住宅地域,280000,350000,2024
大阪府,大阪市旭区,大阪市旭区住宅,住宅地域,250000,312500,2024
大阪府,大阪市東成区,大阪市東成区住宅,住宅地域,230000,287500,2024
大阪府,大阪市城東区,大阪市城東区住宅,住宅地域,260000,325000,2024
大阪府,大阪市港区,大阪市港区工業,工業地域,160000,200000,2024
大阪府,豊中市,豊中駅周辺,近隣商業地域,480000,600000,2024
大阪府,豊中市,豊中市内,住宅地域,320000,400000,2024
大阪府,吹田市,江坂・吹田,近隣商業地域,420000,525000,2024
大阪府,吹田市,吹田市内,住宅地域,280000,350000,2024
大阪府,枚方市,枚方市駅周辺,近隣商業地域,220000,275000,2024
大阪府,枚方市,枚方市内,住宅地域,150000,187500,2024
大阪府,堺市堺区,堺東・堺,近隣商業地域,200000,250000,2024
大阪府,堺市堺区,堺市内,住宅地域,140000,175000,2024
大阪府,東大阪市,東大阪市内,住宅地域,180000,225000,2024
愛知県,名古屋市中区,栄・錦,商業地域,3200000,4000000,2024
愛知県,名古屋市中区,名駅・桑名,商業地域,2800000,3500000,2024
愛知県,名古屋市中区,大須・伏見,近隣商業地域,1200000,1500000,2024
愛知県,名古屋市千種区,名古屋市千種区住宅,住宅地域,280000,350000,2024
愛知県,名古屋市昭和区,名古屋市昭和区住宅,住宅地域,320000,400000,2024
愛知県,名古屋市港区,名古屋市港区工業,工業地域,120000,150000,2024
愛知県,名古屋市中村区,名古屋駅周辺,商業地域,2400000,3000000,2024
愛知県,豊田市,豊田駅周辺,近隣商業地域,220000,275000,2024
愛知県,豊田市,豊田市内,住宅地域,150000,187500,2024
愛知県,岡崎市,岡崎駅周辺,近隣商業地域,160000,200000,2024
愛知県,岡崎市,岡崎市内,住宅地域,110000,137500,2024
京都府,京都市中京区,四条河原町,商業地域,2800000,3500000,2024
京都府,京都市中京区,烏丸・御池,商業地域,1800000,2250000,2024
京都府,京都市下京区,京都駅周辺,商業地域,1200000,1500000,2024
京都府,京都市左京区,岡崎・北白川,近隣商業地域,580000,725000,2024
京都府,京都市左京区,京都市左京区住宅,住宅地域,280000,350000,2024
京都府,京都市伏見区,京都市伏見区住宅,住宅地域,160000,200000,2024
京都府,宇治市,宇治市内,住宅地域,130000,162500,2024
兵庫県,神戸市中央区,三宮・元町,商業地域,1200000,1500000,2024
兵庫県,神戸市中央区,神戸市中央区住宅,住宅地域,320000,400000,2024
兵庫県,神戸市灘区,神戸市灘区住宅,住宅地域,200000,250000,2024
兵庫県,神戸市東灘区,芦屋・御影,近隣商業地域,480000,600000,2024
兵庫県,神戸市東灘区,神戸市東灘区住宅,住宅地域,280000,350000,2024
兵庫県,西宮市,西宮・夙川,近隣商業地域,560000,700000,2024
兵庫県,西宮市,西宮市内,住宅地域,280000,350000,2024
兵庫県,姫路市,姫路駅周辺,近隣商業地域,160000,200000,2024
兵庫県,姫路市,姫路市内,住宅地域,100000,125000,2024
福岡県,福岡市中央区,天神・大名,商業地域,1800000,2250000,2024
福岡県,福岡市中央区,渡辺通・薬院,近隣商業地域,980000,1225000,2024
福岡県,福岡市中央区,福岡市中央区住宅,住宅地域,420000,525000,2024
福岡県,福岡市博多区,博多駅周辺,商業地域,1400000,1750000,2024
福岡県,福岡市博多区,福岡市博多区住宅,住宅地域,280000,350000,2024
福岡県,福岡市早良区,福岡市早良区住宅,住宅地域,220000,275000,2024
福岡県,北九州市小倉北区,小倉駅周辺,近隣商業地域,280000,350000,2024
福岡県,北九州市小倉北区,北九州市内,住宅地域,100000,125000,2024
北海道,札幌市中央区,大通・すすきの,商業地域,1200000,1500000,2024
北海道,札幌市中央区,札幌市中央区住宅,住宅地域,280000,350000,2024
北海道,札幌市北区,札幌市北区住宅,住宅地域,150000,187500,2024
北海道,札幌市白石区,札幌市白石区住宅,住宅地域,120000,150000,2024
北海道,函館市,函館市内,住宅地域,60000,75000,2024
北海道,旭川市,旭川市内,住宅地域,55000,68750,2024
宮城県,仙台市青葉区,仙台駅周辺,商業地域,680000,850000,2024
宮城県,仙台市青葉区,一番町,商業地域,820000,1025000,2024
宮城県,仙台市青葉区,仙台市青葉区住宅,住宅地域,220000,275000,2024
宮城県,仙台市宮城野区,仙台市宮城野区住宅,住宅地域,160000,200000,2024
宮城県,仙台市若林区,仙台市若林区住宅,住宅地域,150000,187500,2024
広島県,広島市中区,紙屋町・八丁堀,商業地域,680000,850000,2024
広島県,広島市中区,広島市中区住宅,住宅地域,220000,275000,2024
広島県,広島市西区,広島市西区住宅,住宅地域,160000,200000,2024
広島県,広島市安佐南区,広島市安佐南区住宅,住宅地域,140000,175000,2024
広島県,福山市,福山市内,住宅地域,80000,100000,2024
静岡県,静岡市葵区,静岡駅周辺,商業地域,380000,475000,2024
静岡県,静岡市葵区,静岡市葵区住宅,住宅地域,160000,200000,2024
静岡県,浜松市中区,浜松駅周辺,商業地域,280000,350000,2024
静岡県,浜松市中区,浜松市内,住宅地域,120000,150000,2024
静岡県,沼津市,沼津市内,住宅地域,90000,112500,2024
茨城県,つくば市,つくば市内,住宅地域,160000,200000,2024
茨城県,水戸市,水戸駅周辺,近隣商業地域,180000,225000,2024
茨城県,水戸市,水戸市内,住宅地域,110000,137500,2024
栃木県,宇都宮市,宇都宮駅周辺,商業地域,220000,275000,2024
栃木県,宇都宮市,宇都宮市内,住宅地域,120000,150000,2024
群馬県,前橋市,前橋市内,住宅地域,95000,118750,2024
群馬県,高崎市,高崎駅周辺,近隣商業地域,180000,225000,2024
長野県,長野市,長野駅周辺,近隣商業地域,160000,200000,2024
長野県,長野市,長野市内,住宅地域,90000,112500,2024
長野県,松本市,松本市内,住宅地域,110000,137500,2024
新潟県,新潟市中央区,新潟駅周辺,商業地域,220000,275000,2024
新潟県,新潟市中央区,新潟市内,住宅地域,100000,125000,2024
岡山県,岡山市北区,岡山駅周辺,商業地域,380000,475000,2024
岡山県,岡山市北区,岡山市内,住宅地域,150000,187500,2024
熊本県,熊本市中央区,熊本駅・下通,商業地域,380000,475000,2024
熊本県,熊本市中央区,熊本市内,住宅地域,140000,175000,2024
鹿児島県,鹿児島市,鹿児島市内,住宅地域,110000,137500,2024
沖縄県,那覇市,那覇市中心部,商業地域,480000,600000,2024
沖縄県,那覇市,那覇市内,住宅地域,160000,200000,2024
沖縄県,浦添市,浦添市内,住宅地域,140000,175000,2024
